name,launchDate,audienceCum8,screen8,audienceCum14,screen14,nation,grade,groupGenre,favor,holiday,like,dislike,distCom,director,actor,actorPower8,actorPower14,directorPower8,directorPower14,distPower8,distPower14,launchDay,series,8hol,14hol
인터스텔라,2014-11-06,1256795,1310,3404930,1342,northA,12,SF/Fantasy/Adventure,9996,0,11513,1517,워너브러더스 코리아(주),크리스토퍼 놀란,"매튜 매커너히,앤 해서웨이,마이클 케인,제시카 차스테인,케이시 애플렉",5234300.6667,12050158.167,1256795,3404930,898054.19231,1389867.7308,Thu,0,2,4
패션왕,2014-11-06,233577,523,464028,523,korea,15,Comedy,31381,0,39795,8414,(주)넥스트엔터테인먼트월드(NEW),오기환,"김다율(김아현),주원,최진리,안재현,박세영,김성오,윤혜빈,이대수,이상훈,이정연,이주영,이주희,이효재,정라엘,최우진,기안84,김나영,김성준,김승주,박상욱,배유람,이일화,이동휘",3115608.3333,4812226.1667,233577,464028,856399.86207,1282562.7931,Thu,0,2,4
카트,2014-11-13,553362,544,722336,544,korea,12,Drama,45950,0,48999,3049,(주)리틀빅픽쳐스,부지영,"염정아,문정희,김영애,김강우,이승준,도경수,김민경,김선간,김지은,김지현,김현,이고운,이승준,이주현,이지혜,김수안,지우,길해연,황정민,김희원,박미현",10438802.283,15407945.533,553362,722336,240664.11111,301766.11111,Thu,0,2,4
"님아, 그 강을 건너지 마오",2014-11-27,120392,206,354503,387,korea,All,etc,8336,0,8651,315,"CGV아트하우스,(주)대명문화공장",진모영,"조병만,강계열",240784,709006,120392,354503,575178.66667,889252.26667,Thu,0,2,4
빅매치,2014-11-27,758352,627,1023081,627,korea,15,Action/Criminal,3895,0,4634,739,(주)넥스트엔터테인먼트월드(NEW),최호,"이정재,신하균,이성민,보아,김의성,손호준,강정원,김근배,김재철,김종선,남성호,박상현,안병래,이상헌,이재남,이재훈,이종현,이진민,정현진,배성우,맹상훈,최우식,조덕제,김윤성,박지환",7307164.2167,10216827.667,758352,1023081,856399.86207,1282562.7931,Thu,0,2,4
엑소더스: 신들과 왕들,2014-12-01,843914,865,1371328,865,northA,12,Drama,3626,0,4163,537,이십세기폭스코리아(주),리들리 스콧,"크리스찬 베일,조엘 에저튼,시고니 위버,벤 킹슬리,아론 폴",3474049.9,5482256.5,1399545.3333,1993002.6667,904472.46429,1334770.9286,Mon,1,2,4
"러브, 로지",2014-12-10,246731,379,281982,379,europe,15,Comedy,2624,0,2861,237,(주)넥스트엔터테인먼트월드(NEW),크리스티안 디터,"릴리 콜린스,샘 클라플린",559109.5,691808.5,246731,281982,856399.86207,1282562.7931,Wed,0,2,4
사랑에 대한 모든 것,2014-12-10,241554,399,265059,399,northA,12,Melo/Romance,2444,0,2704,260,유니버설픽쳐스인터내셔널 코리아(유),제임스 마쉬,"에디 레드메인,펠리시티 존스",1450923.3333,1954299.6667,241554,265059,708672.65854,965092.63415,Wed,0,2,4
국제시장,2014-12-17,2312726,966,4869135,966,korea,12,Drama,10732,0,12784,2052,씨제이이앤엠(주),윤제균,"황정민,김윤진,오달수,정진영,장영남,라미란,김슬기,정영기,맹세창,김동원,김현중,김지영,황창기,박재우,박찬희,김예빈,김재철,김하연,김재현,이소영,류경현,황인준,이종석,이진희,전희경,박재언,유재상,김선영,정윤호,박길수,박영수",11289033.5,18647315.617,2312726,4869135,965818.5,1527981.32,Wed,0,2,4
호빗: 다섯 군대 전투,2014-12-17,1654411,926,2448113,926,northA,12,SF/Fantasy/Adventure,15734,0,16936,1202,워너브러더스 코리아(주),피터 잭슨,"마틴 프리먼,이안 맥켈런,리차드 아미티지,케이트 블란쳇,올랜도 블룸,크리스토퍼 리,휴고 위빙,에반젤린 릴리",9016971.6667,13085168.167,1654411,2448113,898054.19231,1389867.7308,Wed,1,2,4
상의원,2014-12-24,676632,466,778719,466,korea,15,History,7193,0,8746,1553,"(주)쇼박스,(주)와우픽쳐스",이원석,"홍수민,한석규,고수,박신혜,유연석,김수웅,김주훈,김지현,김현정,박병은,박소담,배성우,한지은,김재화,이유비,최희진,신소율,김종언",5278540.9833,7035130,676632,778719,2737244.4912,4025545.614,Wed,0,4,7
